Database,Module,Pathway,pvalue,pvalue_adj,NumberOfOverlap,NumberOfGenesInPathway,Odds.Ratio,Combined.Score,Genes
4872,GO_Biological_Process_2021,5,regulation of organelle assembly (GO:1902115),1.03416041719041e-05,0.000429210816856443,13,77,4.94555104961832,56.7716400205911,USP6NL;GSN;SENP6;HCK;TBC1D1;ATXN2;TBC1D5;TBC1D14;TBC1D12;TBC1D22A;EVI5;SDCCAG8;TBC1D16
9971,GWAS_Catalog_2019,5,Eosinophil percentage of granulocytes,1.06171263558327e-05,0.000437746913631603,19,152,3.49230769230769,39.9975472591922,RERE;CCDC26;CHD7;LPAR1;PTEN;IKZF1;LPP;RUNX1;UBAC2;APBB1IP;ATXN2;KANSL1;INPP5D;ELMO1;BCL2;HIVEP3;ZNF652;FKBP5;BPTF
41923,GWAS_Catalog_2019,9,Carotid plaque burden,6.11275888587832e-06,0.00044083778788746,7,40,11.8848484848485,142.679179026748,PTPRN2;ATRNL1;KCNH8;KCNQ5;ZNF385D;PRKD1;ROBO1
39139,GO_Biological_Process_2021,9,negative regulation of cell motility (GO:2000146),6.27289571404634e-06,0.000443686739158893,11,114,6.03120264885796,72.2494198739385,PTPRT;KANK1;FRMD5;TMEFF2;LIMCH1;DLC1;MAGI2;SPOCK3;PTPRK;SLIT2;ROBO1
9709,KEGG_2021_Human,5,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.11219666032968e-05,0.000452606264304293,14,89,4.548008492569,51.8772610598116,MAP3K3;MAP2K1;IFNGR1;IFNGR2;STAT3;PTEN;NFATC2;PIK3R1;HIF1A;EML4;PPP3CA;AKT3;JAK2;TLR2
9972,GWAS_Catalog_2019,5,Social science traits (pleiotropy) (HIPO component 1),1.10744815673875e-05,0.000452606264304293,5,9,30.2219773299748,344.858965427385,SDK1;TCF4;MAML3;EIF4G3;FOXP2
39140,GO_Biological_Process_2021,9,neuron cell-cell adhesion (GO:0007158),6.54604072183782e-06,0.000454270524055085,5,16,25.3512396694215,302.608879082339,NLGN1;NRXN1;NRXN3;CNTN4;NCAM2
50139,GO_Biological_Process_2021,10,regulation of immune response (GO:0050776),1.28774363643796e-06,0.000454287338410057,13,179,5.82376654908608,78.9855267926945,ITGB1;CD96;DENND1B;ITGA4;HLA-B;HLA-C;PTPN22;HLA-A;HLA-F;FOXP1;IRF1;KLRD1;CD247
51932,Reactome_2016,10,Antigen Presentation: Folding, assembly and peptide loading of class I MHC Homo sapiens R-HSA-983170,9.29234108081124e-07,0.000454287338410057,6,25,23.046783625731,320.09459132462,HLA-B;HLA-C;TAP1;HLA-A;HLA-F;TAPBP
9973,GWAS_Catalog_2019,5,Obesity (early onset extreme),1.12559554428796e-05,0.000455103695229204,7,21,12.1130050505051,138.023007199957,FTO;PRKCH;PACS1;TCF4;SLC8A1;FARS2;SDCCAG8
58206,GO_Biological_Process_2021,3,protein transport (GO:0015031),3.82244154975698e-06,0.000470085360785799,40,369,2.36202790279882,29.4654033284842,STX12;COPA;RABGAP1;LRP1;CLTC;SEL1L;MIA2;GCC2;GGA2;SCFD1;SNX1;HERC2;SNX27;KIF13A;ATP6V1H;TLK1;ARFIP1;SNX9;APOE;RAB28;RAB6A;SIL1;ARL5A;ATP6V0A1;SEC31A;RAB8B;TANGO6;ATP6V0E1;SLC10A7;RIC1;TANGO2;SYNRG;IL10RA;LAPTM5;TBC1D2B;GOLPH3;RAB12;TXNIP;RAB3GAP2;VPS45
4873,GO_Biological_Process_2021,5,enzyme linked receptor protein signaling pathway (GO:0007167),1.21755507699306e-05,0.00047690110421972,18,140,3.60426943179194,40.7862035825687,LYN;CSF1R;TRIO;BMPR2;SYK;SLA;MERTK;PTK2;MTSS1;HCK;FER;AXL;BLNK;RAPGEF1;LCP2;IL6ST;JAK2;MPZL1
9710,KEGG_2021_Human,5,Acute myeloid leukemia,1.20786339078103e-05,0.00047690110421972,12,67,5.3078895691348,60.1069260850099,CSF1R;MAP2K1;ITGAM;ZBTB16;AKT3;STAT3;BRAF;GRB2;PIK3R1;SOS1;RUNX1;PPARD
9711,KEGG_2021_Human,5,Long-term potentiation,1.20786339078103e-05,0.00047690110421972,12,67,5.3078895691348,60.1069260850099,PPP3CA;RPS6KA3;MAP2K1;CAMK2D;CREBBP;RAP1A;PRKCB;RPS6KA2;GNAQ;ITPR2;PRKCA;BRAF
9974,GWAS_Catalog_2019,5,PR interval,1.20786339078103e-05,0.00047690110421972,12,67,5.3078895691348,60.1069260850099,SKI;MKLN1;CAMK2D;SIPA1L1;LRCH1;NAV2;FRMD4B;EPS15;SLC8A1;ARHGAP24;ITGA9;MED13L
9975,GWAS_Catalog_2019,5,Myeloid white cell count,1.21755507699306e-05,0.00047690110421972,18,140,3.60426943179194,40.7862035825687,LYN;CSF3R;ZBTB16;DOCK8;CCDC26;CHD7;JMJD1C;THADA;IL17RA;RAD51B;VMP1;ATXN1;CDK6;CHSY1;RIN3;TNS3;RREB1;SH2B3
9712,KEGG_2021_Human,5,Osteoclast differentiation,1.23363589945475e-05,0.000477234332214993,17,127,3.77292490118577,42.6452178835816,CSF1R;MAP2K1;SYK;IFNGR1;IFNGR2;NFATC2;PIK3R1;GAB2;TGFBR1;TGFBR2;PPP3CA;AKT3;PLCG2;BLNK;GRB2;TAB2;LCP2
9976,GWAS_Catalog_2019,5,Platelet count,1.22868625390885e-05,0.000477234332214993,33,366,2.4409945193235,27.6002760945181,DOCK8;JMJD1C;IRS2;ASAP1;THADA;ZFP36L2;ATXN2;TRPS1;PACSIN2;ZSWIM6;DIP2B;JAK2;SH2B3;ABCC4;MEF2C;MEF2C-AS1;GALNT2;ZBTB16;MYOF;MYO9B;LHFPL2;ARHGAP25;FLI1;RUNX1;RAD51B;TBC1D5;TAOK1;DPYD;BCL2;RGS12;FAR2;FRYL;PICALM
58207,GO_Biological_Process_2021,3,positive regulation of transcription by RNA polymerase II (GO:0045944),3.98637419380985e-06,0.000480818056607219,77,908,1.82190132370638,22.6510222549056,TCERG1;SPI1;SETD3;HNRNPU;PRDM2;RSF1;PKD2;CDC73;IKBKB;MED13;ZMIZ1;RPS6KA1;POGZ;EPC1;EP300;RNF111;NCK1;ACTR3;ACTR2;NCOA6;TFEB;MITF;SREBF2;ETV5;TNFRSF1A;SFPQ;CREB1;THRAP3;IRF2;TFEC;IRF8;NCOA7;CLOCK;RHOQ;MAX;PRKDC;TNKS;GLIS3;FOXK2;NRF1;NR2C2;RLF;ATAD2B;BCLAF1;PLAGL1;ABL1;STAT6;E2F3;MAP2K5;BRD4;MLXIP;SMAD2;STAT5B;TCF7L2;POU2F1;SMAD3;TGFB1;FOXJ3;NFATC3;LILRB1;INO80;NFKB1;HIPK2;ASXL1;MLXIPL;CDK8;KLF7;KLF6;TFCP2;SP3;ASXL2;REL;CTNNB1;CRLF3;RBMX;NFE2L2;BMPR1A
9492,BioCarta_2016,5,Fc Epsilon Receptor I Signaling in Mast Cells Homo sapiens h fcer1Pathway,1.27355251380254e-05,0.000489653595337455,8,29,9.23725242309313,104.114136326787,LYN;MAP2K1;SYK;PRKCB;GRB2;PIK3R1;SOS1;VAV1
9713,KEGG_2021_Human,5,Oxytocin signaling pathway,1.28322223432445e-05,0.00049036303307996,19,154,3.44020892687559,38.7489693168698,RYR1;MAP2K1;MEF2C;CAMK2D;CAMK1D;PPP1R12A;ROCK1;PRKCB;ITPR2;NFATC2;PRKAG2;PLA2G4A;PRKCA;CACNA1D;ADCY7;PIK3R5;TRPM2;PPP3CA;GNAQ
8589,Reactome_2016,5,NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947,1.32317960483371e-05,0.000502567671726842,10,47,6.5645874010893,73.7392739484564,HDAC4;NCOR2;CREBBP;NCOR1;MAML2;TBL1XR1;MAML3;RBPJ;HDAC9;HIF1A
41924,GWAS_Catalog_2019,9,Waist circumference,7.40533543324401e-06,0.000504385624508731,9,75,7.67123824451411,90.6227140322442,LINGO2;AGBL4;GPRC5B;NEGR1;CADM2;CDH12;NRXN3;PRKD1;ANKS1B
9977,GWAS_Catalog_2019,5,Waist circumference adjusted for body mass index,1.37058336212294e-05,0.000517436501832798,17,128,3.73873873873874,41.8652336635802,SRPK2;NCOA1;MEF2C;PBRM1;WNT2B;ARL15;DNMT3A;FNDC3B;ITPR2;FER;CCDC91;KCNQ1;NSD1;ANKS1A;MYO1F;CPEB4;JAZF1
52769,GWAS_Catalog_2019,10,Albumin-globulin ratio,1.63381044679295e-06,0.000518734816856762,8,60,11.292766934558,150.471552313186,FAM102A;ATP8B2;HLA-B;HLA-C;CXCR4;HLA-F;ETS1;RUNX3
32875,GO_Biological_Process_2021,0,regulation of translation (GO:0006417),8.43485134510884e-08,0.000526503420961694,30,178,3.42035678600151,55.7118270292916,EIF4A2;APP;DDX3X;DHX9;SHMT1;ELAVL1;GSPT1;CTIF;SYNCRIP;DHX36;EIF4E;EIF4B;EIF5B;YTHDF3;CIRBP;EIF2AK2;SAMD4B;CNOT10;UPF3A;EIF2AK4;PUS7;LARP4;MTOR;ILF3;EIF5;CNOT1;CAPRIN1;CSDE1;PLXNB2;EIF3E
8590,Reactome_2016,5,Signaling by FGFR1 in disease Homo sapiens R-HSA-5655302,1.42280565491774e-05,0.000533935511339491,9,38,7.53155827149716,84.0544100814576,ZMYM2;CUX1;CNTRL;STAT3;GRB2;PIK3R1;LRRFIP1;GAB2;SOS1
41925,GWAS_Catalog_2019,9,Itch intensity from mosquito bite adjusted by bite size,8.06532117858482e-06,0.000539350023542454,11,117,5.85960846330025,68.7211190395132,CNTNAP2;PCDH9;NTM;DLC1;MAGI2;IL1RAPL1;LSAMP;UNC5C;DMD;NREP;PTPRK
61911,Reactome_2016,3,RHO GTPase Effectors Homo sapiens R-HSA-195258,4.65845743890886e-06,0.000541071204756229,31,255,2.67868648748159,32.8857684144552,YWHAE;ROCK2;ACTB;NSL1;PAK1;XPO1;PPP2R5E;KIF5B;CTNNA1;ABL1;MAPK1;RAC1;PAK2;HIST1H2AC;NCK1;RANBP2;ACTR3;ACTR2;CYBA;KTN1;CLIP1;FMNL1;DAAM1;ARPC2;ABI1;CTNNB1;NUP98;CENPP;PPP1R12B;RHOQ;MAD1L1
63202,KEGG_2021_Human,3,Regulation of actin cytoskeleton,4.63415975106788e-06,0.000541071204756229,28,218,2.84876940552821,34.9887443979572,ITGB5;ROCK2;PIK3CD;PIK3CB;ACTB;ARHGAP35;GNA13;PAK1;TMSB4X;PDGFC;PIP5K1A;MAPK1;PIP5K1B;ITGAV;RAC1;PAK2;ACTR3;ACTR2;MSN;PIKFYVE;ARPC2;PIK3CA;APC;ARHGEF7;RAF1;PPP1R12B;CRK;SOS2
9493,BioCarta_2016,5,PTEN dependent cell cycle arrest and apoptosis Homo sapiens h ptenPathway,1.46496843460803e-05,0.000546485546410032,6,15,16.1345102984447,179.594714781089,PTEN;GRB2;PIK3R1;FOXO3;SOS1;PTK2
41089,Reactome_2016,9,L1CAM interactions Homo sapiens R-HSA-373760,8.37117870847427e-06,0.000549807058745864,10,96,6.55351517994772,76.6152838398103,NFASC;ITGA2;SCN8A;CNTN1;CNTN2;NRCAM;NCAM1;SCN2A;DNM1;SPTBN1
58208,GO_Biological_Process_2021,3,positive regulation of nucleic acid-templated transcription (GO:1903508),4.84865360524011e-06,0.000552922825673927,50,511,2.11422614852273,25.8713826166891,KDM5A;SETD3;RSF1;ETS2;IKBKB;MED13;ZMIZ1;CREB3L2;ZXDC;RPS6KA1;SPIN1;EPC1;EP300;BTRC;YAF2;RNF111;ARHGEF11;SMARCC1;NCOA6;FBXW11;TFEB;MITF;PARP9;CREB1;THRAP3;ZNF516;CLOCK;TRIM56;FOXK2;FOXK1;PSEN1;RLF;NPAS3;NSD3;APOE;BRD4;SMAD2;SMAD3;TGFB1;TAF15;NFKB1;HIPK2;MLXIPL;KLF6;CD4;SP3;HNRNPD;CTNNB1;NAA15;CRLF3
41926,GWAS_Catalog_2019,9,Myopia (pathological),8.57855813316967e-06,0.000553542751119264,7,42,11.2045714285714,130.715272137716,PTPRD;PTPRN2;CNTN5;CTNND2;ZNF536;ASPA;SPTBN1
4874,GO_Biological_Process_2021,5,cellular response to insulin stimulus (GO:0032869),1.52093589077216e-05,0.000564006226477463,17,129,3.70516304347826,41.1035952643833,BCAR3;GSK3B;PDE3B;MYO5A;IRS2;PIK3R1;HDAC9;ZFP36L1;RAB10;FER;RAB31;TBC1D4;PHIP;GRB2;SOS1;LPIN2;PTPN2
41090,Reactome_2016,9,Acetylcholine Neurotransmitter Release Cycle Homo sapiens R-HSA-264642,9.13812784483452e-06,0.000565106475496616,5,17,23.2374526515152,269.625441743811,SNAP25;RIMS1;SYT1;STXBP1;PPFIA2
41927,GWAS_Catalog_2019,9,BMI (adjusted for smoking behaviour),9.21870269978167e-06,0.000565106475496616,9,77,7.44485294117647,86.3176815312488,LINGO2;CALCR;NEGR1;GRID1;ERBB4;CADM2;NOVA1;NRXN3;PRKD1
41928,GWAS_Catalog_2019,9,Body mass index (joint analysis main effects and smoking interaction),9.21870269978167e-06,0.000565106475496616,9,77,7.44485294117647,86.3176815312488,LINGO2;CALCR;NEGR1;GRID1;ERBB4;CADM2;NOVA1;NRXN3;PRKD1
36655,Reactome_2016,0,Cell Cycle, Mitotic Homo sapiens R-HSA-69278,1.8231501191096e-07,0.000569005152174107,55,462,2.300538545926,35.6986754685945,CEP57;ANKLE2;AHCTF1;NUP107;HSP90AB1;NUMA1;PPP1CB;ENSA;PSMD1;CEP290;YWHAG;CDK5RAP2;LIN52;TMPO;NDEL1;OFD1;CSNK2A1;RFC1;ESCO1;CSNK1D;LEMD3;CKAP5;NUP93;RBL2;MAU2;ANAPC5;CEP63;DYNC1I2;NUP205;POM121;PSMD14;TUBGCP2;USO1;NUP160;CENPC;PSMB7;ORC4;PPP2CB;POM121C;RBBP4;TPR;ORC2;UBC;PSMF1;NEK9;NDE1;RCC2;NUP153;CDK11B;POLA1;ALMS1;CDC16;TUBGCP3;MNAT1;NUPL2
57209,Reactome_2016,16,Ribosomal scanning and start codon recognition Homo sapiens R-HSA-72702,1.55199053510969e-05,0.000587080557591492,6,57,12.7737556561086,141.448741634076,RPS4X;RPS15;RPS25;RPS20;RPS27A;RPS23
57210,Reactome_2016,16,Translation initiation complex formation Homo sapiens R-HSA-72649,1.55199053510969e-05,0.000587080557591492,6,57,12.7737556561086,141.448741634076,RPS4X;RPS15;RPS25;RPS20;RPS27A;RPS23
9714,KEGG_2021_Human,5,T cell receptor signaling pathway,1.60640616415289e-05,0.00059219690769095,15,104,4.10857601467553,45.3542664977673,GSK3B;MAP2K1;NFATC2;PIK3R1;VAV1;PPP3CA;DLG1;PTPRC;AKT3;NCK2;MAP3K8;GRB2;LCP2;SOS1;CARD11
4875,GO_Biological_Process_2021,5,positive regulation of protein polymerization (GO:0032273),1.65021883159881e-05,0.000604790726177178,12,69,5.12111282016987,56.3937843057306,HCK;HSP90AA1;FER;FCHSD2;NAV3;BIN1;PRKCE;AKAP9;NCK2;EVL;NCKAP1L;CLASP1
9494,BioCarta_2016,5,VEGF, Hypoxia, and Angiogenesis Homo sapiens h vegfPathway,1.67615311731906e-05,0.000609277578134877,8,30,8.81691759567866,96.9545652100244,HSP90AA1;PRKCB;PRKCA;GRB2;PIK3R1;SOS1;HIF1A;PTK2
9978,GWAS_Catalog_2019,5,QT interval,1.68190555317271e-05,0.000609277578134877,16,117,3.86429447542455,42.4801816580803,DOCK5;NCOA2;CREBBP;MBD5;AUTS2;PRKCA;SLC8A1;ARHGAP24;KCNQ1;PPP6R3;ELMO1;KCNQ3;PDE4B;EXOC4;FAR2;L3MBTL4
57212,Reactome_2016,16,Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662,1.71764935834374e-05,0.000628087115367696,6,58,12.5274725274725,137.451037225606,RPS4X;RPS15;RPS25;RPS20;RPS27A;RPS23
36656,Reactome_2016,0,Immune System Homo sapiens R-HSA-168256,3.1256371869278e-07,0.000650340910693444,135,1547,1.66163603376861,24.888744693558,ATF1;EIF4A2;ATF2;APP;NUP107;AHCYL1;CD81;UBE3D;WIPF2;PROS1;INPPL1;HERC3;TBK1;RNF114;RNF19A;PSMD1;KPNA5;LGALS9;MAP3K7;CXADR;FBXW8;CD300A;UBE4A;FRS2;CNPY3;NUP93;DYNC1LI2;TYROBP;ADCY9;BTK;TRIM14;ANAPC5;TLN1;SQSTM1;IFNAR1;ATP6V1A;NUP205;POM121;PSMD14;DHX9;UBA6;EBI3;PDGFB;UBR4;KLC1;RASAL3;NUP160;PLD3;RASGRP3;POM121C;BTBD1;IRAK2;CLEC7A;PRKAR2A;RNF217;DHX36;PCBP2;TPR;UBC;RIPK1;PSMF1;CD14;HACE1;UBE2B;SIGLEC10;EIF2AK2;NUP153;NFATC1;KLHL20;CYLD;MAVS;AGO2;CDC16;UBA3;HLA-DRA;CALM1;FBXL4;PRR5;ARF1;LRSAM1;SIGLEC9;HSP90AB1;YWHAB;ITGB2;CLTA;ADAR;WASL;HMGB1;DUSP16;TNFSF13B;FCGR3A;PPP3CB;CASP8;TRIM4;AP1G1;CASP4;CTSH;IKBKE;KSR1;IL15;YWHAZ;CANX;ATP6V1B2;PIK3C3;CD46;DYNC1I2;C1QA;SEC23A;PHLPP1;MGRN1;UNC93B1;PTAFR;RNF4;MALT1;PSMB7;PPP2CB;MAPK9;HLA-DMB;CSK;RBBP6;FCGR1A;EIF4E;LAIR1;PTPN1;STAT2;LIMK1;PTPN11;UBE2G2;MTOR;ABI2;HLA-DPB1;SIGLEC8;NUPL2;SIPA1;C1QC
39141,GO_Biological_Process_2021,9,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),1.08560676394145e-05,0.000654567488160105,8,60,8.63610315186246,98.7174504991847,PTPRT;ROBO2;KIRREL3;CNTN2;CNTN4;PKD1;DSCAML1;ROBO1
39142,GO_Biological_Process_2021,9,protein localization to membrane (GO:0072657),1.14838514279263e-05,0.000664602987970941,14,195,4.38876987258992,49.920364569531,DPP10;NLGN1;STXBP1;NRXN1;MAGI2;KCNIP4;F11R;RAB11B;CACNB2;DPP6;LRRC7;MAP7;CPE;SPTBN1
39144,GO_Biological_Process_2021,9,neurotransmitter secretion (GO:0007269),1.18175672350993e-05,0.000664602987970941,7,44,10.5978378378378,120.2422561531,RIMS2;SNAP25;RIMS1;PTPRN2;SYT1;NRXN1;STXBP1
39145,GO_Biological_Process_2021,9,synaptic transmission, glutamatergic (GO:0035249),1.24680821560617e-05,0.000664602987970941,5,18,21.4488636363636,242.207830911337,NAPA;GRIA2;GRID1;GRIK1;GRIK2
39146,GO_Biological_Process_2021,9,positive regulation of excitatory postsynaptic potential (GO:2000463),1.24680821560617e-05,0.000664602987970941,5,18,21.4488636363636,242.207830911337,RIMS2;RIMS1;NLGN1;NRXN1;GRIN1
41091,Reactome_2016,9,Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429,1.24680821560617e-05,0.000664602987970941,5,18,21.4488636363636,242.207830911337,SNAP25;RIMS1;SYT1;STXBP1;PPFIA2
41092,Reactome_2016,9,Norepinephrine Neurotransmitter Release Cycle Homo sapiens R-HSA-181430,1.24680821560617e-05,0.000664602987970941,5,18,21.4488636363636,242.207830911337,SNAP25;RIMS1;SYT1;STXBP1;PPFIA2
41929,GWAS_Catalog_2019,9,Influenza A (H1N1) infection,1.24680821560617e-05,0.000664602987970941,5,18,21.4488636363636,242.207830911337,LINGO2;NRG3;PCDH7;DMD;LRP1B
9715,KEGG_2021_Human,5,GnRH signaling pathway,1.86474525826457e-05,0.000664605257781382,14,93,4.31682657421592,47.0093823962948,MAP3K2;MAP3K3;MAP2K1;CAMK2D;PRKCB;PLA2G4A;ITPR2;PRKCA;CACNA1D;PLD1;ADCY7;GNAQ;GRB2;SOS1
9716,KEGG_2021_Human,5,FoxO signaling pathway,1.86645165740423e-05,0.000664605257781382,17,131,3.63977879481312,39.6331376215368,MAP2K1;CREBBP;STAT3;PTEN;PRKAG2;IRS2;BRAF;PIK3R1;FOXO3;STK4;TGFBR1;TGFBR2;AKT3;ATM;GRB2;SGK3;SOS1
9979,GWAS_Catalog_2019,5,HDL cholesterol levels,1.86474525826457e-05,0.000664605257781382,14,93,4.31682657421592,47.0093823962948,FTO;GSK3B;NCOA2;SETD2;ARL15;GALNT2;FAM13A;SNX13;IKZF1;CMIP;CCND3;TRPS1;ALOX5;ATG7
39147,GO_Biological_Process_2021,9,regulation of cation transmembrane transport (GO:1904062),1.28201080330844e-05,0.000673605104938351,6,30,13.9736467236467,157.40608314663,DPP10;DPP6;KCNIP2;KCNIP4;KCNAB1;FGF12
4876,GO_Biological_Process_2021,5,regulation of plasma membrane bounded cell projection assembly (GO:0120032),1.92013595736509e-05,0.000679858307616217,12,70,5.03255487885028,54.6562105727052,USP6NL;TBC1D1;TRPM2;FER;CAPZB;TBC1D5;TBC1D14;PLD1;TBC1D22A;EVI5;SDCCAG8;TBC1D16
56004,GO_Biological_Process_2021,16,selective autophagy (GO:0061912),1.89728203100325e-05,0.000682399471478874,6,59,12.2904831018039,133.628315784051,MAP1LC3B;UBB;ATG2A;ULK1;RPS27A;UBA52
4877,GO_Biological_Process_2021,5,positive regulation of actin filament polymerization (GO:0030838),1.95357797378465e-05,0.000687813098972382,10,49,6.22729193071398,67.5241636553054,HCK;FER;FCHSD2;SCIN;GSN;BIN1;PRKCE;NCK2;EVL;NCKAP1L
4878,GO_Biological_Process_2021,5,regulation of cell migration (GO:0030334),1.96670404604615e-05,0.000688566159584985,35,408,2.31243771317884,25.0588848165016,CSF1R;MACF1;ROCK1;PTEN;PTPRJ;LDLRAD4;FOXO3;VSIR;DOCK10;SRGAP2C;PPP3CA;MGAT5;GCNT2;ITGAX;SRGAP3;SRGAP2;ARID2;SRGAP1;APPL2;SRGAP2B;MAP4K4;CD74;STAT3;ADAM10;PRKCA;SORL1;PTK2;TGFBR1;TIAM1;FER;NAV3;NF1;NUMB;ATM;SGK3
4879,GO_Biological_Process_2021,5,protein autophosphorylation (GO:0046777),2.02892997355368e-05,0.00070250299139563,19,159,3.31647435897436,35.8358881449492,LYN;CSF1R;GSK3B;MAP3K3;CAMK2D;LRRK2;DYRK1A;STK4;PTK2;HCK;FER;TAOK3;PEAK1;MKNK1;TAOK1;AAK1;ATM;JAK2;MARK3
9717,KEGG_2021_Human,5,Parathyroid hormone synthesis, secretion and action,2.02732256379559e-05,0.00070250299139563,15,106,4.01785714285714,43.4178059326333,MEF2A;MAP2K1;MEF2C;PRKCB;ITPR2;PRKCA;BRAF;ARRB1;PLD1;ADCY7;RUNX2;AKAP13;GNAQ;BCL2;PDE4B
27985,Reactome_2016,4,rRNA processing Homo sapiens R-HSA-72312,1.16585395835009e-06,0.000714666197041547,24,180,3.42926873361656,46.850863974257,NOP56;WDR36;RPS7;KRR1;RPL12;NAT10;RPSA;NOL9;DDX52;RPL6;EXOSC7;RPS14;RPS16;PDCD11;DKC1;BMS1;C1D;RPL36;MPHOSPH10;RRP36;RIOK1;RPL29;EXOSC1;MPHOSPH6
27986,Reactome_2016,4,Asparagine N-linked glycosylation Homo sapiens R-HSA-446203,1.20873775398147e-06,0.000714666197041547,30,259,2.92953670447792,39.9176735554522,ARF4;NAPB;MCFD2;SERPINA1;SAR1B;PRKCSH;RPN1;LMAN1;LMAN2;TMED3;PGM3;NANS;CTSA;TRAPPC3;ALG8;ALG5;EDEM2;COG2;ALG1;ARFGAP1;ARCN1;DHDDS;ARFGAP2;DPM1;STT3A;COPG1;SEC22B;CNIH3;SEC24C;BET1
9718,KEGG_2021_Human,5,Sphingolipid signaling pathway,2.08716108858464e-05,0.000718694425393404,16,119,3.78886285012833,40.8330320741914,MAP2K1;ROCK1;SGMS1;PRKCB;PRKCE;PTEN;PRKCA;PIK3R1;GAB2;PPP2R5C;PLD1;SPTLC2;GNAQ;AKT3;BCL2;MAP3K5
61912,Reactome_2016,3,Toll-Like Receptors Cascades Homo sapiens R-HSA-168898,6.41989770581327e-06,0.000719028543051086,21,140,3.39975990396158,40.6478978575597,MAP2K4;MAP3K1;FBXW11;UBE2D2;UBE2D3;CUL1;MAPK14;TANK;NFKB1;CTSS;EEA1;IKBKB;DNM3;TLR1;MAPK8;CREB1;TRAF3;RPS6KA1;MAPK1;BTRC;TLR5
63203,KEGG_2021_Human,3,Renal cell carcinoma,6.63730830631107e-06,0.000725915352842099,14,69,4.8856221792392,58.2503159162411,TGFB1;GAB1;PIK3CD;PIK3CB;RAP1B;PAK1;PIK3CA;EP300;MAPK1;RAC1;RAF1;CRK;SOS2;PAK2
63204,KEGG_2021_Human,3,mRNA surveillance pathway,6.71286518890972e-06,0.000725915352842099,17,98,4.03500451671183,48.0628945462887,UPF2;SMG1;CPSF6;RNGTT;FUS;PPP2R2A;SMG7;SRRM1;SMG6;WDR33;PNN;PCF11;PPP2R5E;PPP2R2D;PAPOLA;ACIN1;PABPC1
4880,GO_Biological_Process_2021,5,B cell homeostasis (GO:0001782),2.14189356396958e-05,0.000733510763136467,5,10,24.176322418136,259.925328206495,DOCK10;LYN;DOCK11;MEF2C;NCKAP1L
8591,Reactome_2016,5,FGFR1 mutant receptor activation Homo sapiens R-HSA-1839124,2.18048546915143e-05,0.000738654185684974,8,31,8.43313362282196,90.5160102294272,ZMYM2;CUX1;CNTRL;STAT3;GRB2;PIK3R1;LRRFIP1;GAB2
9980,GWAS_Catalog_2019,5,Response to amphetamines,2.18048546915143e-05,0.000738654185684974,8,31,8.43313362282196,90.5160102294272,WWOX;PTPRE;SGMS1;FBXL17;NEDD4L;THADA;TRAPPC9;FHIT
61913,Reactome_2016,3,Antigen processing: Ubiquitination & Proteasome degradation Homo sapiens R-HSA-983168,6.95214574744985e-06,0.00073904844284755,31,260,2.61950209336875,31.1104123698504,UBE3C;CUL5;UBE2D2;CUL3;UBE2D3;CUL1;UBE3A;UBR2;UBR1;SH3RF1;NPEPPS;RNF115;HERC2;HECTD1;HECTD2;CDC27;ARIH2;BTRC;RNF111;UBE2H;FBXW7;FBXW11;UBE2E3;HUWE1;UBE2G1;PJA2;ITCH;UBE2R2;PSME4;UBE2O;TPP2
9719,KEGG_2021_Human,5,Long-term depression,2.20835711952462e-05,0.000743291341531394,11,60,5.45612762871646,58.493379854276,RYR1;LYN;GRID2;MAP2K1;PRKCB;GNAQ;PLA2G4A;CACNA1A;ITPR2;PRKCA;BRAF
9981,GWAS_Catalog_2019,5,Blond vs. brown/black hair color,2.21789501940914e-05,0.000743291341531394,19,160,3.29278050554646,35.2866440461224,HDAC4;MBNL1;BNC2;DOCK8;TET2;CDKAL1;GAB2;TMEM163;ARHGAP24;ZFP36L1;MED13L;RAD51B;BABAM2;NFIA;KIAA2026;ATXN7L1;ATXN10;MARK3;JAZF1
9720,KEGG_2021_Human,5,Regulation of actin cytoskeleton,2.23765870595112e-05,0.00074592591011679,23,218,2.88883161512027,30.9321511328772,CYFIP1;MAP2K1;GSN;ITGAM;PPP1R12A;ROCK1;LPAR1;BRAF;PIK3R1;SSH2;PTK2;VAV1;SSH1;TIAM1;DIAPH2;SCIN;ITGAX;PIP4K2A;NCKAP1L;SOS1;WASF2;ARHGEF6;ITGA9
4881,GO_Biological_Process_2021,5,regulation of cell adhesion (GO:0030155),2.28018631925949e-05,0.000748163751979015,17,133,3.57664917541229,38.229616684231,LYN;ZFHX3;PPP1R12A;DSCAM;ROCK1;PDE3B;IL18;ADAM10;PRKCA;PTPRJ;PTK2;PPP3CA;ADGRG1;NUAK1;RASA1;ATM;CYTH1
